id,name,category,description,use_case,tradeoffs,complexity,scale
1,Monolith,Application Architecture,Single deployable unit containing all application logic and components,Small teams building MVPs or simple applications with limited scope,Simple deployment and debugging but poor scalability and tight coupling,low,small
2,Modular Monolith,Application Architecture,Monolith organized into well-defined modules with clear boundaries and interfaces,Teams wanting modularity without distributed system complexity; migration stepping stone,Better organization than monolith but still single deployment unit; good balance of simplicity and structure,medium,medium
3,Microservices,Application Architecture,Application decomposed into small independent services each owning its domain and data,Large teams needing independent deployment scaling and technology diversity,Independent scaling and deployment but operational complexity and distributed system challenges,high,enterprise
4,Serverless,Application Architecture,Application built on cloud functions that execute on demand without managing infrastructure,Event-driven workloads with variable traffic; rapid prototyping; cost-sensitive projects,Zero infrastructure management and pay-per-use but vendor lock-in cold starts and debugging difficulty,medium,large
5,Service-Oriented Architecture (SOA),Application Architecture,Coarse-grained services communicating via enterprise service bus with shared data contracts,Enterprise integration across legacy systems; large organizations with diverse technology stacks,Reusability and enterprise integration but heavyweight middleware and complex governance,high,enterprise
6,Event-Driven Architecture,Application Architecture,Components communicate through asynchronous events enabling loose coupling and reactivity,Real-time processing systems; systems requiring high decoupling; IoT and streaming platforms,Excellent decoupling and scalability but eventual consistency complexity and harder debugging,high,large
7,CQRS,Application Architecture,Separates read and write models allowing independent optimization of query and command paths,Systems with asymmetric read/write loads; complex domains requiring different read/write representations,Optimized read/write performance but increased complexity and eventual consistency between models,high,large
8,Event Sourcing,Application Architecture,Stores all state changes as immutable events rebuilding current state by replaying the event log,Audit-critical systems; systems needing complete history; financial and compliance applications,Complete audit trail and temporal queries but storage growth complexity and eventual consistency,high,large
9,Clean Architecture,Structural Patterns,Concentric layers with dependencies pointing inward; domain at center independent of frameworks,Applications requiring long-term maintainability testability and framework independence,High testability and flexibility but more boilerplate and initial setup overhead,medium,medium
10,Hexagonal (Ports & Adapters),Structural Patterns,Core domain surrounded by ports defining interfaces and adapters implementing external integrations,Applications needing swappable infrastructure; systems with multiple integration points,Easy to test and swap integrations but requires discipline to maintain port/adapter boundaries,medium,medium
11,Onion Architecture,Structural Patterns,Similar to clean architecture with domain model at core and infrastructure at outermost layer,Domain-heavy applications where business logic must remain isolated from infrastructure concerns,Strong domain isolation and testability but learning curve and potential over-engineering for simple apps,medium,medium
12,Layered Architecture,Structural Patterns,Horizontal layers where each layer only communicates with the layer directly below it,Traditional enterprise applications; teams familiar with n-tier patterns; CRUD-heavy applications,Simple to understand and implement but can lead to tight coupling between layers and god classes,low,small
13,Domain-Driven Design,Structural Patterns,Software design approach aligning code structure with business domains using ubiquitous language,Complex business domains with rich logic; large teams needing shared understanding of the domain,Deep business alignment and maintainability but steep learning curve and overhead for simple domains,high,enterprise
14,Plugin Architecture,Structural Patterns,Core system with extension points allowing third-party plugins to add functionality dynamically,Extensible platforms like IDEs editors and CMS; products requiring customization without core changes,High extensibility and customization but plugin compatibility management and security concerns,medium,large
15,Pipe and Filter,Structural Patterns,Data flows through a series of processing components each transforming input to output,Data processing pipelines; ETL systems; compiler design; stream processing applications,Easy to add remove and reorder processing steps but overhead from data transformation between stages,low,medium
16,Blackboard Pattern,Structural Patterns,Shared knowledge base where specialized subsystems collaboratively build a solution,AI and expert systems; complex problem solving requiring multiple specialized algorithms,Enables collaborative problem solving but complex coordination and potential performance bottlenecks,high,large
17,Request-Response,Communication Patterns,Synchronous communication where client sends request and waits for server response,Simple API interactions; CRUD operations; when immediate response is required,Simple and intuitive but tight coupling between client and server; blocking calls reduce throughput,low,small
18,Publish-Subscribe,Communication Patterns,Publishers emit events to topics and subscribers receive events they are interested in,Broadcasting events to multiple consumers; decoupled notification systems; real-time updates,Excellent decoupling and scalability but message ordering challenges and debugging complexity,medium,large
